Company,Current Price,Volatility,Risk Level
VAIBHAVGBL,"Ticker
VAIBHAVGBL.NS   200.60
Name: 2025-04-07 00:00:00, dtype: float64",0.02838,Medium
BASF,"Ticker
BASF.NS   4318.00
Name: 2025-04-07 00:00:00, dtype: float64",0.02768,Medium
VASCONEQ,"Ticker
VASCONEQ.NS   36.17
Name: 2025-04-07 00:00:00, dtype: float64",0.03029,High
ERIS,"Ticker
ERIS.NS   1274.65
Name: 2025-04-07 00:00:00, dtype: float64",0.02457,Medium
NRL,"Ticker
NRL.NS   54.78
Name: 2025-04-07 00:00:00, dtype: float64",0.03971,High
PGEL,"Ticker
PGEL.NS   813.00
Name: 2025-04-07 00:00:00, dtype: float64",0.03982,High
NOCIL,"Ticker
NOCIL.NS   165.67
Name: 2025-04-07 00:00:00, dtype: float64",0.02574,Medium
SBIN,"Ticker
SBIN.NS   746.90
Name: 2025-04-07 00:00:00, dtype: float64",0.0147,Low
INDRAMEDCO,"Ticker
INDRAMEDCO.NS   380.85
Name: 2025-04-07 00:00:00, dtype: float64",0.03711,High
BASML,"Ticker
BASML.NS   31.04
Name: 2025-04-07 00:00:00, dtype: float64",0.03386,High
HDFCAMC,"Ticker
HDFCAMC.NS   3732.10
Name: 2025-04-07 00:00:00, dtype: float64",0.01966,Medium
PARKHOTELS,"Ticker
PARKHOTELS.NS   134.43
Name: 2025-04-07 00:00:00, dtype: float64",0.03187,High
AAVAS,"Ticker
AAVAS.NS   1978.95
Name: 2025-04-07 00:00:00, dtype: float64",0.01199,Low
TREEHOUSE,"Ticker
TREEHOUSE.NS   10.14
Name: 2025-04-07 00:00:00, dtype: float64",0.02968,Medium
SANCO,"Ticker
SANCO.NS   2.28
Name: 2025-04-04 00:00:00, dtype: float64",0.02858,Medium
SPMLINFRA,"Ticker
SPMLINFRA.NS   175.55
Name: 2025-04-07 00:00:00, dtype: float64",0.03359,High
CALSOFT,"Ticker
CALSOFT.NS   10.89
Name: 2025-04-07 00:00:00, dtype: float64",0.04691,High
LGHL,"Ticker
LGHL.NS   487.40
Name: 2025-04-07 00:00:00, dtype: float64",0.03537,High
CSLFINANCE,"Ticker
CSLFINANCE.NS   240.25
Name: 2025-04-07 00:00:00, dtype: float64",0.02934,Medium
KREBSBIO,"Ticker
KREBSBIO.NS   70.37
Name: 2025-04-07 00:00:00, dtype: float64",0.04202,High
KRIDHANINF,"Ticker
KRIDHANINF.NS   3.42
Name: 2025-04-07 00:00:00, dtype: float64",0.04727,High
SEMAC,"Ticker
SEMAC.NS   342.60
Name: 2025-04-07 00:00:00, dtype: float64",0.02739,Medium
VMM,"Ticker
VMM.NS   102.49
Name: 2025-04-07 00:00:00, dtype: float64",0.02889,Medium
CIGNITITEC,"Ticker
CIGNITITEC.NS   1159.55
Name: 2025-04-07 00:00:00, dtype: float64",0.02907,Medium
IMPAL,"Ticker
IMPAL.NS   963.65
Name: 2025-04-07 00:00:00, dtype: float64",0.02297,Medium
RKSWAMY,"Ticker
RKSWAMY.NS   198.46
Name: 2025-04-07 00:00:00, dtype: float64",0.03288,High
CLEAN,"Ticker
CLEAN.NS   1167.25
Name: 2025-04-07 00:00:00, dtype: float64",0.02309,Medium
AUTOAXLES,"Ticker
AUTOAXLES.NS   1560.35
Name: 2025-04-07 00:00:00, dtype: float64",0.01609,Medium
COROMANDEL,"Ticker
COROMANDEL.NS   1968.70
Name: 2025-04-07 00:00:00, dtype: float64",0.01936,Medium
POWERGRID,"Ticker
POWERGRID.NS   289.40
Name: 2025-04-07 00:00:00, dtype: float64",0.01639,Medium
WINSOME,"Ticker
WINSOME.NS   1.69
Name: 2025-04-07 00:00:00, dtype: float64",0.0157,Medium
PGHH,"Ticker
PGHH.NS   13664.60
Name: 2025-04-07 00:00:00, dtype: float64",0.01484,Low
GVPTECH,"Ticker
GVPTECH.NS   9.39
Name: 2025-04-07 00:00:00, dtype: float64",0.03251,High
CENTUM,"Ticker
CENTUM.NS   1508.15
Name: 2025-04-07 00:00:00, dtype: float64",0.04048,High
DMART,"Ticker
DMART.NS   4023.15
Name: 2025-04-07 00:00:00, dtype: float64",0.02214,Medium
DUCON,"Ticker
DUCON.NS   5.25
Name: 2025-04-07 00:00:00, dtype: float64",0.03323,High
CHEMFAB,"Ticker
CHEMFAB.NS   796.50
Name: 2025-04-07 00:00:00, dtype: float64",0.03419,High
AKSHAR,"Ticker
AKSHAR.NS   0.54
Name: 2025-04-07 00:00:00, dtype: float64",0.02953,Medium
CMICABLES,"Ticker
CMICABLES.NS   3.74
Name: 2025-04-07 00:00:00, dtype: float64",0.02002,Medium
AARTECH,"Ticker
AARTECH.NS   52.90
Name: 2025-04-07 00:00:00, dtype: float64",0.03071,High
TALBROAUTO,"Ticker
TALBROAUTO.NS   229.67
Name: 2025-04-07 00:00:00, dtype: float64",0.03475,High
NATIONALUM,"Ticker
NATIONALUM.NS   144.69
Name: 2025-04-07 00:00:00, dtype: float64",0.0282,Medium
ALLCARGO,"Ticker
ALLCARGO.NS   27.52
Name: 2025-04-07 00:00:00, dtype: float64",0.02509,Medium
MAHABANK,"Ticker
MAHABANK.NS   43.62
Name: 2025-04-07 00:00:00, dtype: float64",0.02538,Medium
PRUDENT,"Ticker
PRUDENT.NS   1971.55
Name: 2025-04-07 00:00:00, dtype: float64",0.0429,High
MCL,"Ticker
MCL.NS   44.73
Name: 2025-04-07 00:00:00, dtype: float64",0.04409,High
MAZDOCK,"Ticker
MAZDOCK.NS   2317.30
Name: 2025-04-07 00:00:00, dtype: float64",0.03559,High
BLSE,"Ticker
BLSE.NS   138.99
Name: 2025-04-07 00:00:00, dtype: float64",0.02504,Medium
JINDRILL,"Ticker
JINDRILL.NS   691.70
Name: 2025-04-07 00:00:00, dtype: float64",0.04101,High
PENIND,"Ticker
PENIND.NS   173.93
Name: 2025-04-07 00:00:00, dtype: float64",0.03589,High
SGIL,"Ticker
SGIL.NS   383.90
Name: 2025-04-07 00:00:00, dtype: float64",0.02783,Medium
BLACKBUCK,"Ticker
BLACKBUCK.NS   389.00
Name: 2025-04-07 00:00:00, dtype: float64",0.04512,High
